Windows Time Zone ID,Olson Location,Standard Offset,Standard Abbreviation,Daylight Saving Offset,Daylight Saving Abbreviation
Tokyo Standard Time,Asia/Tokyo,,JST,,
Tomsk Standard Time,Asia/Tomsk,+0700,,,
Tonga Standard Time,Pacific/Tongatapu,+1300,,,
Transbaikal Standard Time,Asia/Chita,+0900,,,
Turkey Standard Time,Europe/Istanbul,+0300,,,
Turks And Caicos Standard Time,America/Grand_Turk,,EST,,EDT
Ulaanbaatar Standard Time,Asia/Ulaanbaatar,+0800,,,
US Eastern Standard Time,America/New_York,,EST,,EDT
US Mountain Standard Time,America/Denver,,MST,,MDT
UTC,,+0000,UTC,+0000,UTC
UTC-02,,-0200,,-0200,
UTC-08,,-0800,,-0800,
UTC-09,,-0900,,-0900,
UTC-11,,-1100,,-1100,
UTC+12,,+1200,,+1200,
UTC+13,,+1300,,+1300,
Venezuela Standard Time,America/Caracas,-0400,,,
Vladivostok Standard Time,Asia/Vladivostok,+1000,,,
Volgograd Standard Time,Europe/Volgograd,+0300,,,
W. Australia Standard Time,Australia/Perth,,AWST,,
W. Central Africa Standard Time,,,,,
W. Europe Standard Time,Europe/London,,GMT,,BST
W. Mongolia Standard Time,Asia/Ulaanbaatar,+0800,,,
West Asia Standard Time,Asia/Tashkent,+0500,,,
West Bank Standard Time,Asia/Hebron,,EET,,EET
West Pacific Standard Time,Pacific/Port_Moresby,+1000,,,
Yakutsk Standard Time,Asia/Yakutsk,+0900,,,
Yukon Standard Time,America/Whitehorse,,MST,,
